filename,publisher,raw_count,total,ag_share
allafrica_2003.csv,addis tribune (addis ababa),3,4,0.75
allafrica_2003.csv,africa recovery (new york),2,2,1.0
allafrica_2003.csv,african church information service (nairobi),2,2,1.0
allafrica_2003.csv,african eye news service (nelspruit),1,1,1.0
allafrica_2003.csv,agencia de informacao de mocambique (maputo),5,5,1.0
allafrica_2003.csv,all africa council of churches (nairobi),1,1,1.0
allafrica_2003.csv,allafrica.com,4,4,1.0
allafrica_2003.csv,angola press agency (luanda),5,6,0.833
allafrica_2003.csv,buanews (tshwane),1,2,0.5
allafrica_2003.csv,business day (johannesburg),5,10,0.5
allafrica_2003.csv,business times (dar es salaam),7,7,1.0
allafrica_2003.csv,cameroon tribune (yaoundã©),13,15,0.867
allafrica_2003.csv,cape argus (cape town),1,2,0.5
allafrica_2003.csv,daily champion (lagos),5,9,0.556
allafrica_2003.csv,daily trust (abuja),30,50,0.6
allafrica_2003.csv,east cape news (grahamstown),0,1,0.0
allafrica_2003.csv,fahamu (oxford),1,1,1.0
allafrica_2003.csv,financial gazette (harare),12,13,0.923
allafrica_2003.csv,ghanaian chronicle (accra),28,41,0.683
allafrica_2003.csv,"human rights watch (washington, dc)",1,1,1.0
allafrica_2003.csv,internews (arusha),0,1,0.0
allafrica_2003.csv,mail & guardian (johannesburg),2,2,1.0
allafrica_2003.csv,malawi standard (blantyre),3,3,1.0
allafrica_2003.csv,mmegi/the reporter (gaborone),1,1,1.0
allafrica_2003.csv,moneyweb (johannesburg),2,3,0.667
allafrica_2003.csv,mopheme/the survivor (maseru),1,2,0.5
allafrica_2003.csv,new vision (kampala),42,53,0.792
allafrica_2003.csv,newswatch (lagos),2,2,1.0
allafrica_2003.csv,p.m. news (lagos),2,4,0.5
allafrica_2003.csv,public agenda (accra),13,13,1.0
allafrica_2003.csv,royal dutch/shell group (london),1,1,1.0
allafrica_2003.csv,south african press association,1,1,1.0
allafrica_2003.csv,standard times (freetown),1,1,1.0
allafrica_2003.csv,sunday times (johannesburg),2,4,0.5
allafrica_2003.csv,tempo (lagos),2,2,1.0
allafrica_2003.csv,the daily monitor (addis ababa),2,2,1.0
allafrica_2003.csv,the daily news (harare),5,6,0.833
allafrica_2003.csv,the east african (nairobi),10,10,1.0
allafrica_2003.csv,the east african standard (nairobi),9,10,0.9
allafrica_2003.csv,the herald (harare),28,28,1.0
allafrica_2003.csv,the independent (accra),1,1,1.0
allafrica_2003.csv,the independent (banjul),3,3,1.0
allafrica_2003.csv,the monitor (kampala),13,16,0.812
allafrica_2003.csv,the namibian (windhoek),6,7,0.857
allafrica_2003.csv,the nation (nairobi),10,10,1.0
allafrica_2003.csv,the news (lagos),12,13,0.923
allafrica_2003.csv,the post (lusaka),11,13,0.846
allafrica_2003.csv,the times of zambia (ndola),21,24,0.875
allafrica_2003.csv,third world network-africa (accra),1,1,1.0
allafrica_2003.csv,this day (lagos),44,65,0.677
allafrica_2003.csv,un integrated regional information networks,69,74,0.932
allafrica_2003.csv,un news service,4,4,1.0
allafrica_2003.csv,united nations (new york),2,3,0.667
allafrica_2003.csv,united nations development programme (new york),1,1,1.0
allafrica_2003.csv,united nations high commissioner for refugees,0,1,0.0
allafrica_2003.csv,united nations world food programme (rome),3,3,1.0
allafrica_2003.csv,"united states department of state (washington, dc)",1,1,1.0
allafrica_2003.csv,"united states information agency (washington, dc)",1,1,1.0
allafrica_2003.csv,vanguard (lagos),55,71,0.775
allafrica_2003.csv,weekly trust (abuja),6,7,0.857
allafrica_2003.csv,world vision africa (johannesburg),1,1,1.0
allafrica_2003.csv,zimbabwe independent (harare),3,4,0.75
allafrica_2003.csv,zimbabwe standard (harare),2,4,0.5
allafrica_2004.csv,accra mail (accra),7,13,0.538
allafrica_2004.csv,addis fortune (addis ababa),2,2,1.0
allafrica_2004.csv,addis tribune (addis ababa),10,10,1.0
